id,state,category,question,optionA,optionB,optionC,optionD,correctIndex,correctAnswer
WA-010,WA,gdlLicensing,"What happens after a second violation of GDL restrictions in Washington?","Written warning only","License suspended until 18","Mandatory driver training course","Community service requirement",1,B
WA-011,WA,gdlLicensing,"Who can certify that a teen has completed the required supervised driving hours for an Intermediate License?","Only a certified driving instructor","Only the teen's parent or guardian","Parent, guardian, or employer","Only the driving school instructor",2,C
WA-012,WA,gdlLicensing,"What is required for drivers under 18 to obtain an Intermediate License in Washington?","Pass a vision test only","Complete an online course","Pay an additional fee","State-approved driver ed",3,D
WA-013,WA,cellPhone,"Under Washington's hands-free law, when is it illegal to hold a personal electronic device while driving?","Anytime, even at red lights","Only while vehicle is moving","Only on highways or freeways","Only in school zones or work zones",0,A
WA-014,WA,cellPhone,"What type of enforcement is Washington's handheld device law?","Secondary - need another reason","Primary - can stop for this alone","Warning only enforcement","Only enforced after accidents",1,B
WA-015,WA,cellPhone,"How can you legally make a phone call while driving in Washington?","Hold phone away from ear","Use speaker in your lap","Bluetooth w/ minimal touch","Only with passenger dialing",2,C
WA-016,WA,cellPhone,"Which devices are exempt from Washington's personal electronic device law while driving?","Smartphones in emergencies only","Tablets mounted on dashboard","GPS devices only","Two-way radios and CB radios",3,D
WA-017,WA,cellPhone,"When can you legally use a handheld phone while in your vehicle in Washington?","After pulling over safely","At stop signs only","In parking lot drive lanes","During traffic jams only",0,A
WA-018,WA,cellPhone,"What is the distracted driving standard in Washington besides the handheld device law?","No distractions while moving","Dangerously distracted prohibition","Three-second rule compliance","Zero tolerance for all distractions",1,B
WA-019,WA,duiStateLaws,"What is the legal BAC limit for drivers 21 and older in Washington?","0.10%","0.05%","0.08%","0.06%",2,C
WA-020,WA,duiStateLaws,"What is the BAC limit for commercial driver's license (CDL) holders in Washington?","0.08%","0.02%","0.06%","0.04%",3,D
WA-021,WA,duiStateLaws,"What is the legal BAC limit for drivers under age 21 in Washington?","0.02%","0.00%","0.04%","0.08%",0,A
WA-022,WA,duiStateLaws,"How long does a DUI conviction remain on your driving record in Washington?","Removed after 10 yrs total","Lifetime - cannot be removed","Removed after 15 yrs total","Removed after 7 yrs total",1,B
WA-023,WA,duiStateLaws,"What happens if you refuse a breath test in Washington on your first refusal?","No penalty for first refusal","License suspension for 90 days","License suspension for 2 years","License suspension for 1 year",2,C
WA-024,WA,duiStateLaws,"How many DUIs within 10 years result in felony charges in Washington?","3 DUIs","5 DUIs","2 DUIs","4 DUIs",3,D
WA-025,WA,duiStateLaws,"What additional penalty applies if you are convicted of DUI with a child under 16 in the vehicle?","Enhanced jail time and fines","Automatic felony charge","Vehicle impoundment only","Mandatory ignition interlock device",0,A
WA-026,WA,duiStateLaws,"What is the minimum license suspension for a first DUI offense in Washington?","30 days","90 days","180 days","One year",1,B
WA-027,WA,insurance,"What type of liability coverage does Washington require all drivers to carry?","Comprehensive coverage only","Uninsured motorist coverage","Bodily injury & property damage","Collision coverage protection",2,C
WA-028,WA,insurance,"What is an acceptable alternative to insurance for proving financial responsibility in Washington?","Verbal promise to pay damages","Employment verification letter","Valid credit card on file","Certificate of deposit with DOL",3,D
WA-029,WA,insurance,"When must you show proof of insurance in Washington?","When requested by police","Only after an accident occurs","Only during vehicle registration","Only at border crossings",0,A
WA-030,WA,insurance,"What coverage must insurance companies include unless you waive it in writing in Washington?","Comprehensive coverage","Personal injury protection","Gap insurance coverage","Rental car reimbursement",1,B
WA-031,WA,stateUnique,"When you approach a stopped school bus with flashing red lights on an undivided road, what must you do?","Slow down to 20 mph","Change lanes if possible","Stop in both directions","Proceed with caution",2,C
WA-032,WA,stateUnique,"During what months are studded tires legal to use in Washington?","October 1 to May 1","December 1 to March 1","Year-round with permit","November 1 to March 31",3,D
WA-033,WA,stateUnique,"When must you stop for a pedestrian at a crosswalk in Washington?","When they're in your travel lane","Only at marked crosswalks","Only when signal says walk","Only if they make eye contact",0,A
WA-034,WA,stateUnique,"What happens to traffic infractions committed in school zones in Washington?","Same penalty as elsewhere","Penalties are doubled","License points are doubled","Court appearance is mandatory",1,B
WA-035,WA,stateUnique,"Do studded tires exempt you from chain requirements on mountain passes in Washington?","Yes, studded tires replace chains","Yes, if all-wheel drive too","No, you must carry chains","Only in certain weather conditions",2,C
WA-036,WA,stateUnique,"On a divided highway in Washington, who must stop when a school bus has its red lights flashing?","All traffic in both directions","No one needs to stop","Only oncoming traffic","Only traffic behind the bus",3,D
WA-037,WA,stateUnique,"What is considered a crosswalk in Washington even without painted lines?","Every intersection is a crosswalk","Only corners with stop signs","Only where pedestrians are present","Only school zone areas",0,A
WA-038,WA,stateUnique,"How does Washington verify that drivers maintain continuous insurance coverage?","Annual insurance card submission","Electronic verification system","Random traffic stops only","Self-reporting honor system",1,B
WA-039,WA,stateUnique,"What must vehicles over 10,000 pounds carry when traveling in chain-required areas?","Emergency flares and reflectors","Commercial driver endorsement","Minimum of two extra chains","Special studded tire equipment",2,C
WA-040,WA,stateUnique,"What can happen if another vehicle is stopped at a crosswalk to let a pedestrian cross?","You may pass if lane is clear","You must honk before passing","You must use caution passing","You cannot overtake that vehicle",3,D
WI-001,WI,gdlLicensing,"At what minimum age can you apply for an instruction permit in Wisconsin?","15 yrs, 6 months","16 years of age","14 years of age","17 years of age",0,A
WI-002,WI,gdlLicensing,"Who can supervise a permit holder during practice driving in Wisconsin?","Any licensed adult family member","Licensed driver 21+ in front seat","Any driver with 5+ years experience","Only certified driving instructors",1,B
WI-003,WI,gdlLicensing,"How long must you hold an instruction permit before taking the road test in Wisconsin?","3 months minimum","1 year minimum","6 months minimum","9 months minimum",2,C
WI-004,WI,gdlLicensing,"What are the nighttime driving restrictions for probationary license holders under 16 in Wisconsin?","No driving midnight to 6 AM","No driving 10 PM to 6 AM","No driving 11 PM to 5 AM","No driving midnight to 5 AM",3,D
WI-005,WI,gdlLicensing,"What are the exceptions to nighttime curfew for probationary license holders in Wisconsin?","Work, school, emergency","Religious activities only","Family events only","Sports activities only",0,A
WI-006,WI,gdlLicensing,"How many passengers under 19 can a probationary license holder have in the first 9 months in Wisconsin?","Up to three passengers","One unless family members","Two unless family members","No restrictions on passengers",1,B
WI-007,WI,gdlLicensing,"How many hours of supervised driving practice are required for drivers under 18 in Wisconsin?","30 hours total","60 hours total","50 hours total","40 hours total",2,C
WI-008,WI,gdlLicensing,"What must young drivers complete before getting a probationary license in Wisconsin?","30 hrs classroom instruction","Advanced defensive driving course","Written test only","Driver ed or extra practice",3,D
WI-009,WI,gdlLicensing,"At what age does a probationary license automatically convert to a regular license in Wisconsin?","18 years old","21 years old","19 years old","17 years old",0,A
WI-010,WI,gdlLicensing,"What happens if a probationary license holder gets a conviction in Wisconsin?","License suspended 30 days","License extension 6 months","Must retake road test","Probation period reset",1,B
WI-011,WI,gdlLicensing,"What is required to obtain an instruction permit at age 15.5 in Wisconsin?","Parental consent form required","School enrollment verification required","Employment verification","Vision test only required",2,C
WI-012,WI,gdlLicensing,"Can a permit holder drive alone to school or work in Wisconsin?","Yes, after 6 months practice","Yes, with special permit","No, always need supervision","No supervision needed, never",3,D
WI-013,WI,cellPhone,"What does Wisconsin law prohibit for all drivers regarding mobile devices?","Texting while driving","All phone use","Only video recording","Using GPS navigation",0,A
WI-014,WI,cellPhone,"Can adult drivers use handheld phones for voice calls in Wisconsin?","No, completely banned","Yes, calls permitted","Only in emergencies","Only with Bluetooth",1,B
WI-015,WI,cellPhone,"What phone restrictions apply to probationary license holders in Wisconsin?","Only texting is banned","Only video calls banned","All wireless use banned","No phone restrictions",2,C
WI-016,WI,cellPhone,"What phone use is allowed during emergencies while driving in Wisconsin?","Only texting allowed","Only social media allowed","Only navigation allowed","Calling 911 is allowed",3,D
WI-017,WI,cellPhone,"Can you compose or send emails while driving in Wisconsin?","No, same as texting","Yes, if brief","Yes, if using voice","Yes, at stoplights",0,A
WI-018,WI,cellPhone,"What is the law for reading text messages while stopped at a red light in Wisconsin?","Allowed when fully stopped","Illegal, still driving","Allowed if in park","Allowed with hazards on",1,B
WI-019,WI,duiStateLaws,"What is the legal BAC limit for drivers under 21 in Wisconsin?","0.08%","0.04%","0.02%","0.00%",2,C
WI-020,WI,duiStateLaws,"What is the BAC limit for commercial vehicle operators in Wisconsin?","0.08%","0.02%","0.06%","0.04%",3,D
